facilityName;streetAdress;city;state;zipCode;publicPhone
ROCHDALE VILLAGE POST OFFICE;165-100 BAISLEY BOULEVARD;JAMAICA;NY;11434;7185233765
CITY OF JAMESTOWN ASSESSORS OFFICE;200 E. 3RD ST.;JAMESTOWN;NY;14701;7164837708
JAMESTOWN MAIN POST OFFICE;300 EAST 3RD STREET;JAMESTOWN;NY;14701;7166642133
JEFFERSONVILLE POST OFFICE;4915 STATE ROUTE 52;JEFFERSONVILLE;NY;12748;8454824265
JERICHO POST OFFICE;425 NORTH BROADWAY;JERICHO;NY;11753;5166816887
FULTON COUNTY CLERK OF COURT;223 WEST MAIN STREET;JOHNSTOWN;NY;12095;5187365555
ELBRIDGE TOWN CLERK;5 ROUTE 31;JORDAN;NY;13080;3156899031
TOWN OF TONAWANDA;2919 DELAWARE AVENUE, ROOM 14;KENMORE;NY;14217;7168778800
KEUKA PARK POST OFFICE;508 ASSEMBLY AVE;KEUKA PARK;NY;14478;3155363667
KEW GARDENS POST OFFICE;8330 AUSTIN STREET;KEW GARDENS;NY;11415;7188479895
KINGS PARK POST OFFICE;125 EAST MAIN STREET;KINGS PARK;NY;11754;63612699549
KINGSTON POST OFFICE;90 CORNELL STREET;KINGSTON;NY;12401;8453312286
ULSTER COUNTY CLERK;244  FAIR STREET;KINGSTON;NY;12401;8453403288
LAFAYETTE TOWN CLERK;2577 ROUTE 11;LAFAYETTE;NY;13084;3156773674
LAGRANGEVILLE POST OFFICE;1085 ROUTE 55;LAGRANGEVILLE;NY;12540;8454525270
WARREN COUNTY CLERK -CLERK OF THE SUPREME AND COUNTY COURTS;1340 STATE ROUTE #9;LAKE GEORGE;NY;12845;5187616429
LAKE KATRINE POST OFFICE;1840 ULSTER AVE;LAKE KATRINE;NY;12449;8453822086
LAKE PLACID POST OFFICE;2591 MAIN ST;LAKE PLACID;NY;12946;5185233071
LARCHMONT POST OFFICE;1 CHATSWORTH AVE;LARCHMONT;NY;10538;9148342674
LAWRENCE POST OFFICE;12 BAYVIEW AVENUE;LAWRENCE;NY;11559;5162390246
LEROY POST OFFICE;2 MAIN ST;LEROY;NY;14482;5857686500
LEVITTOWN POST OFFICE;180 GARDINERS AVENUE;LEVITTOWN;NY;11756;6317357343
LEVITTOWN PUBLIC LIBRARY;1 BLUEGRASS LANE;LEVITTOWN;NY;11756;5167315728
LEWISTON POST OFFICE;150 S 8TH ST;LEWISTON;NY;14092;7167548000
LIBERTY MAIN POST OFFICE;14 CHESTNUT ST;LIBERTY;NY;12754;8452925108
LINCOLNDALE POST OFFICE;152 ROUTE 202;LINCOLNDALE;NY;10540;9142487193
LINDENHURST POST OFFICE;65 EAST HOFFMAN AVENUE;LINDENHURST;NY;11757;6312260112
CATTARAUGUS COUNTY CLERK OF COURT;303 COURT ST;LITTLE VALLEY;NY;14755;7169382293
LIVERPOOL POST OFFICE;300 CYPRESS STREET;LIVERPOOL;NY;13088;3154513060
LIVERPOOL PUBLIC LIBRARY;310 TULIP ST.;LIVERPOOL;NY;13088;3154570310
SALINA TOWN CLERK;201 SCHOOL ROAD;LIVERPOOL;NY;13088;3154572710
LIVONIA POST OFFICE;34 MAIN STREET;LIVONIA;NY;14487;5853465858
LOCKPORT POST OFFICE;138 EAST AVENUE;LOCKPORT;NY;14094;7165145000
NIAGARA COUNTY CLERK OF COURT;175 HAWLEY STREET;LOCKPORT;NY;14095;7164397022
