facilityName;streetAdress;city;state;zipCode;publicPhone
ASH CREEK STATION;3311 100TH ST;URBANDALE;IA;50323;5153345683
BENTON COUNTY RECORDER;111 EAST 4TH ST.;VINTON;IA;52349;3194723309
WASHINGTON COUNTY RECORDER;224 W MAIN ST;WASHINGTON;IA;52353;3196537727
BLACK HAWK COUNTY RECORDERS OFFICE;316 E. 5TH STREET;WATERLOO;IA;50703;3198333012
WATERLOO POST OFFICE;300 SYCAMORE ST;WATERLOO;IA;50701;3192742219
WAUKEE POST OFFICE;500 W HICKMAN RD;WAUKEE;IA;50263;5159875409
ALLAMAKEE COUNTY AUDITOR;110 ALLAMAKEE ST;WAUKON;IA;52172;5635683522
BREMER COUNTY RECORDERS OFFICE;415 E BREMER AVE;WAVERLY;IA;50677;3193520401
WEBSTER CITY MAIN POST OFFICE;805 SENECA ST;WEBSTER CITY;IA;50595;5158321611
FAYETTE COUNTY AUDITORS OFFICE;114 NORTH VINE ST;WEST UNION;IA;52175;5634223497
MADISON COUNTY AUDITOR;112 N JOHN WAYNE DR.;WINTERSET;IA;50273;5154623914
