facilityName;streetAdress;city;state;zipCode;publicPhone
SCOTT CITY POST OFFICE;211 S MAIN ST;SCOTT CITY;KS;67871;6208722650
WALLACE COUNTY CLERK;313 N MAIN;SHARON SPRINGS;KS;67758;7858524282
USPS - MONTICELLO BRANCH;22015 W 66TH ST;SHAWNEE MISSION;KS;66226;9134223927
SMITH COUNTY REGISTER OF DEEDS OFFICE;218 S GRANT ST;SMITH CENTER;KS;66967;7852825160
STAFFORD COUNTY REGISTER OF DEEDS;209 N BROADWAY;ST. JOHN;KS;67576;6205493505
STILWELL POST OFFICE;19800 METCALF AVE;STILWELL;KS;66085;9138972663
ROOKS COUNTY CLERK;115 N WALNUT ST;STOCKTON;KS;67669;7854256391
HASKELL COUNTY TREASURER;300 S INMAN ST;SUBLETTE;KS;67877;6206752265
NORTHPARK TOPEKA PASSPORT ACCEPTANCE CENTER;1410 GAGE BLVD;TOPEKA;KS;66618;7852313532
GREELEY COUNTY REGISTER OF DEEDS;616 2ND ST;TRIBUNE;KS;67879;6203764275
DONIPHAN COUNTY REGISTER OF DEEDS;120 E CHESTNUT ST;TROY;KS;66087;7859853932
GRANT COUNTY REGISTER OF DEEDS;108 SOUTH GLENN ST;ULYSSES;KS;67880;6203561538
WASHINGTON POST OFFICE;100 C STREET;WASHINGTON;KS;66968;7853252111
WATHENA MAIN POST OFFICE;304 ST JOSEPH ST;WATHENA;KS;66090;7859894623
WELLINGTON POST OFFICE;221 W HARVEY AVE;WELLINGTON;KS;67152;6203262891
SEDGWICK COUNTY REGISTER OF DEEDS;525 N MAIN ST;WICHITA;KS;67203;3166609400
WICHITA DOWNTOWN STATION;330 W 2ND ST;WICHITA;KS;67202;3162626543
WSU PASSPORT ACCEPTANCE CENTER;1845 FAIRMOUNT ST;WICHITA;KS;67260;3169783550
WINFIELD POST OFFICE;218 E 10TH AVE;WINFIELD;KS;67156;6202212390
WOODSON COUNTY REGISTER OF DEEDS;105 W RUTLEDGE ST;YATES CENTER;KS;66783;6206258635
