facilityName;streetAdress;city;state;zipCode;publicPhone
COLUMBIA COUNTY CLERK OF COURT;173 NE HERNANDO AVE;LAKE CITY;FL;32055;3867547005
US POSTAL SERVICE LAKE HELEN FL;104 E. MICHIGAN AVE.;LAKE HELEN;FL;32744;3862282227
USPS LAKE PLACID POST OFFICE;901 HILLCREST AVE;LAKE PLACID;FL;33852;8636996776
POLK COUNTY CLERK OF COURT - LAKELAND BRANCH;930 E PARKER ST;LAKELAND;FL;33801;8635344000
USPS LAKELAND MAIN POST OFFICE;2800 LAKELAND HILLS BLVD;LAKELAND;FL;33805;8638022070
USPS LAND O LAKES MAIN POST OFFICE;5230 LAND O LAKES BLVD;LAND O LAKES;FL;34639;18002758777
LAKE COUNTY LIBRARY SYSTEM - LEESBURG PUBLIC LIBRARY;100 E MAIN ST;LEESBURG;FL;34748;3527289790
USPS LEHIGH ACRES POST OFFICE;1201 BUSINESS WAY;LEHIGH ACRES;FL;33936;2393698911
SUWANNEE COUNTY CLERK OF COURT;200 S OHIO AVE;LIVE OAK;FL;32064;3863620500
BAKER COUNTY CLERK OF COURT;339 E MACCLENNY AVE;MACCLENNY;FL;32063;9042590205
MADISON COUNTY CLERK OF COURT;125 SW RANGE AVE;MADISON;FL;32340;8509731500
USPS MARATHON POST OFFICE;5171 OVERSEAS HWY;MARATHON;FL;33050;3057435238
JACKSON COUNTY CLERK OF COURT;4445 LAFAYETTE ST;MARIANNA;FL;32446;8504829552
LAFAYETTE COUNTY CLERK OF COURT;120 W MAIN ST;MAYO;FL;32066;3862941600
USPS MAYO POST OFFICE;157 E MAIN ST;MAYO;FL;32066;3862941623
BREVARD COUNTY CLERK OF COURT - MELBOURNE BRANCH COURTHOUSE;51 S NIEMAN AVE;MELBOURNE;FL;32901;3216375413
USPS MELBOURNE MAIN POST OFFICE;640 E NEW HAVEN AVE;MELBOURNE;FL;32901;3217241488
BREVARD COUNTY CLERK OF COURT - MERRITT ISLAND OFFICE;2575 N COURTENAY PKWY;MERRITT ISLAND;FL;32953;3216375413
CITY OF MIAMI;3500 PAN AMERICAN DR;MIAMI;FL;33133;3058592705
MIAMI-DADE PUBLIC LIBRARY SYSTEM - SOUTH DADE REGIONAL LIBRARY;10750 SW 211TH ST;MIAMI;FL;33189;3052338140
USPS JOSE MARTI STATION;425 NW 27TH AVE;MIAMI;FL;33125;3055413264
USPS KENDALL FINANCE UNIT;8821 SW 136TH ST;MIAMI;FL;33176;3052351973
USPS LITTLE RIVER BRANCH;140 NE 84TH ST;MIAMI;FL;33138;3057541329
USPS MIAMI GENERAL MAIL FACILITY;2200 NW 72ND AVE;MIAMI;FL;33152;8558643379
USPS QUAIL HEIGHTS BRANCH;10360 SW 186TH ST;MIAMI;FL;33197;8558643379
USPS SNAPPER CREEK BRANCH;11000 SW 104TH ST;MIAMI;FL;33116;3055966024
USPS SOUTH MIAMI BRANCH;5927 SW 70TH ST;MIAMI;FL;33143;3056615435
USPS SURFSIDE POST OFFICE;250 95TH ST;MIAMI;FL;33154;3058679637
USPS TOWN AND COUNTRY POSTAL STORE;8266 MILLS DR;MIAMI;FL;33283;3052790679
CITY OF MIAMI BEACH - FINANCE OFFICE;1755 MERIDIAN AVE;MIAMI BEACH;FL;33139;3056737420
USPS MIAMI BEACH MAIN POST OFFICE;1300 WASHINGTON AVENUE;MIAMI BEACH;FL;33139;3055341891
USPS NORMANDY POST OFFICE;525 71ST ST;MIAMI BEACH;FL;33141;3058648155
USPS OCEAN VIEW POST OFFICE;445 W 40TH ST;MIAMI BEACH;FL;33140;3055386536
NORTH DADE REGIONAL LIBRARY;2455 N.W. 183RD STREET;MIAMI GARDENS;FL;33056;3056256424
SANTA ROSA COUNTY CLERK OF COURT - RECORDING DEPARTMENT;6495 CAROLINE ST;MILTON;FL;32570;8509831980
USPS MIMS POST OFFICE;3405 KELLY RD;MIMS;FL;32754;3212675122
LAKE COUNTY CLERK OF COURT - SOUTH LAKE MINNEOLA BRANCH OFFICE;800 N US HIGHWAY 27;MINNEOLA;FL;34715;3523942018
CITY OF MIRAMAR;2300 CIVIC CENTER PL;MIRAMAR;FL;33025;9546023011
