facilityName;streetAdress;city;state;zipCode;publicPhone
REYNOLDSBURG POST OFFICE;7185 E. MAIN ST.;REYNOLDSBURG;OH;43068;6148666049
CUYAHOGA COUNTY PUBLIC LIBRARY RICHMOND HEIGHTS BRANCH;5235 WILSON MILLS  ROAD;RICHMOND HEIGHTS;OH;44143;4404492666
RICHMOND HEIGHTS POST OFFICE;454 RICHMOND ROAD;RICHMOND HEIGHTS;OH;44143;2164814461
ROCKY RIVER BRANCH;19525 HILLIARD BLVD.;ROCKY RIVER;OH;44116;4403562465
ROCKY RIVER PUBLIC LIBRARY;1600 HAMPTON ROAD;ROCKY RIVER;OH;44116;4403337610
RUSSELLS POINT POSTAL FACILITY;901 STATE ROUTE 708;RUSSELLS POINT;OH;43348;9378434090
SAINT CLAIRSVILLE POST OFFICE;2 RESERVOIR ROAD;SAINT CLAIRSVILLE;OH;43950;7406951030
SANDUSKY POST OFFICE;2220 CALDWELL ST.;SANDUSKY;OH;44870;4196265525
SEAMAN POST OFFICE;6886 TRI COUNTY ROAD;SEAMAN;OH;45679;9373862611
SHAKER HEIGHTS POST OFFICE;3675 WARRENSVILLE CENTER ROAD;SHAKER HEIGHTS;OH;44120;2162952543
SHAKER HEIGHTS PUBLIC LIBRARY;16500 VAN AKEN BLVD;SHAKER HEIGHTS;OH;44120;2169912030
SHAKER HEIGHTS PUBLIC LIBRARY BERTRAM WOODS;20600 FAYETTE RD;SHAKER HEIGHTS;OH;44122;2169912421
SHARON CENTER POST OFFICE;1332 SHARON COPLEY RD;SHARON CENTER;OH;44274;3302391081
SHARONVILLE BRANCH POST OFFICE;11069 READING ROAD;SHARONVILLE;OH;45241;5135630760
SHELBY POST OFFICE;26 N. GAMBLE STREET;SHELBY;OH;44875;4193423101
SHELBY COUNTY CLERK OF COURTS - TITLE DEPT.;1000 MILLIGAN COURT;SIDNEY;OH;45365;9374987277
SIDNEY POST OFFICE;135 N .OHIO AVE;SIDNEY;OH;45365;9374923181
CUYAHOGA COUNTY PUBLIC LIBRARY SOLON BRANCH;34125 PORTZ PKWY;SOLON;OH;44139;4402488777
SOLON POST OFFICE;33333 STATION ST.;SOLON;OH;44139;4403492365
SOMERSET POST OFFICE;320 S. COLUMBUS ST.;SOMERSET;OH;43783;7407431962
CUYAHOGA COUNTY PUBLIC LIBRARY-SOUTH EUCLID BRANCH;1876 SOUTH GREEN ROAD;SOUTH EUCLID;OH;44121;2163824880
SOUTH EUCLID BRANCH;1568 S. GREEN RD.;SOUTH EUCLID;OH;44121;2163813792
SOUTH POINT MAIN POST OFFICE;108 COLLINS AVE.;SOUTH POINT;OH;45680;7403774002
